s_State,s_State-Short,s_State-raw,s_Period,s_Quarter,Broad Type of Service,Services,Benefits ($),Bulk Billed Services,Patient Billed Services,Bulk Billed Benefits ($),Patient Billed Beng Rate (efits ($),MBS Bulk Billing Rate (%),Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($),Schedule Fee ($),Fee Charged ($),Bulk Billed Fee Charged ($),Patient Billed Fee Charged ($)
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,40481562,2380679327,31272565,9208997,1899218176,481461150.7,0.772513793,52.41189894,2381188504,2862352481,1899218176,963134304.7
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,13281173,777617692.8,10840756,2440417,649806362.6,127811330.2,0.81624989,51.98697191,777607212.8,904046061.2,649806362.6,254239698.6
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,10916168,636955216.9,8542813,2373355,511992641.1,124962575.8,0.782583504,52.24009521,637105225.9,760716337.5,511992641.1,248723696.4
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,8221923,488817292.6,6207210,2014713,383690953.3,105126339.3,0.75495842,53.46220417,488979736.2,596311139.9,383690953.3,212620186.6
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,2699119,159474247.8,2008762,690357,123468006.6,36006241.2,0.744228765,47.01303168,159703437.2,191909929.6,123468006.6,68441923.03
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,3760254,220654406.1,2608887,1151367,161912625.7,58741780.44,0.693806057,51.29382693,220704200.2,279659826.4,161912625.7,117747200.7
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,789526,47769344.45,570687,218839,35937494.05,11831850.4,0.722822301,61.18085061,47810376.4,61139324.87,35937494.05,25201830.82
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,260215,17251711.75,197977,62238,14035021.75,3216690,0.76082086,49.87222031,17235954.2,20355030.39,14035021.75,6320008.64
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,545108,31616921.59,287537,257571,17860952.75,13755968.84,0.527486296,62.3874581,31519128.71,47683872.47,17860952.75,29822919.72
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Total GP Non-Referred Attendances,8076,522492.7,7936,140,514118.2,8374.5,0.982664685,64.82519685,523232.5,530958.52,514118.2,16840.32
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Practice Nurse,782602,12881029.45,767584,15018,11880338.95,1000690.5,0.980810169,36.41338327,12360509.45,13427885.64,11880338.95,1547546.69
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Practice Nurse,226894,3532339.3,223446,3448,3329983.7,202355.6,0.984803477,33.13271752,3432266.85,3646580.91,3329983.7,316597.21
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Practice Nurse,162674,2499182.95,159104,3570,2228349.2,270833.75,0.978054268,40.15459384,2354945.9,2642534.85,2228349.2,414185.65
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Practice Nurse,187916,3313107.25,182573,5343,2918459.35,394647.9,0.971567083,40.73282987,3096531.2,3530742.76,2918459.35,612283.41
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Practice Nurse,63148,910317.3,62464,684,899517.45,10799.85,0.989168303,4.751023392,915010.55,913567,899517.45,14049.55
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Practice Nurse,80472,1380205.55,79192,1280,1302365.3,77840.25,0.984093846,33.35669531,1338622,1422902.12,1302365.3,120536.82
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Practice Nurse,20747,328531.65,20130,617,287506.35,41025.3,0.970260761,38.1226094,307034.05,352053.3,287506.35,64546.95
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Practice Nurse,36419,852458.25,36412,7,852118.7,339.55,0.999807793,54.42142857,852385.9,852839.2,852118.7,720.5
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Practice Nurse,4023,58463.55,3960,63,56181.15,2282.4,0.984340045,23.44761905,57623.95,59940.75,56181.15,3759.6
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Practice Nurse,309,6423.65,303,6,5857.75,565.9,0.980582524,50.18333333,6089.05,6724.75,5857.75,867
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Other Allied Health,3978509,332731826.9,1629796,2348713,117238167.5,215493659.4,0.409649947,78.19729752,385022451.9,516394836.2,117238167.5,399156668.7
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Other Allied Health,1252904,104401799,522791,730113,37954472.7,66447326.28,0.417263414,78.32885314,120607548,161590712.9,37954472.7,123636240.2
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Other Allied Health,1179732,98080503.12,457625,722107,32576429.65,65504073.47,0.387905897,76.81860799,113393240.5,153551757.7,32576429.65,120975328
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Other Allied Health,760231,63431161.22,338504,421727,24540941.3,38890219.92,0.445264663,80.68336282,73516765.35,97457513.77,24540941.3,72916572.47
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Other Allied Health,298539,23982054.74,151079,147460,10321741.15,13660313.59,0.506061185,70.14089028,27972351.61,34325030.42,10321741.15,24003289.27
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Other Allied Health,353722,30679685.63,129173,224549,9204134.8,21475550.83,0.365182262,81.0908359,35516287.63,48888551.74,9204134.8,39684416.94
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Other Allied Health,73159,6482451.4,16750,56409,1506303.55,4976147.85,0.228953376,62.44466273,7550690.75,10004892.38,1506303.55,8498588.83
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Other Allied Health,12758,1045344.57,6239,6519,484068.2,561276.37,0.489026493,85.66960117,1219514.7,1603824.7,484068.2,1119756.5
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Other Allied Health,46939,4594129.44,7178,39761,620988.85,3973140.59,0.152921877,109.1394882,5205258,8933624.63,620988.85,8312635.78
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Other Allied Health,525,34697.85,457,68,29087.3,5610.55,0.87047619,62.20735294,40795.45,38927.95,29087.3,9840.65
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Specialist Attendances,8593935,754077789.3,2378238,6215697,212395687.2,541682102.2,0.276734464,140.742747,892471802.5,1478579289,212395687.2,1266183602
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Specialist Attendances,2945570,264395240.2,889002,2056568,81803437.9,182591802.3,0.301809836,148.891206,311188570.9,523596482.6,81803437.9,441793044.7
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Specialist Attendances,2426926,216282847,700438,1726488,64296190.15,151986656.8,0.28861119,132.1739708,256496680.5,404431199.9,64296190.15,340135009.8
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Specialist Attendances,1633960,140438394.9,403333,1230627,34204120.2,106234274.7,0.246843864,145.1940144,167029288.9,282814096.9,34204120.2,248609976.7
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Specialist Attendances,598680,49512599.18,173480,425200,14246498.8,35266100.38,0.289770829,113.5192626,58862974.35,91711801.32,14246498.8,77465302.52
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Specialist Attendances,704177,58769501.97,141584,562593,11476180.2,47293321.77,0.201063085,144.9804539,69890781.25,125015147.9,11476180.2,113538967.7
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Specialist Attendances,136674,11186453,32475,104199,2844259.2,8342193.8,0.237609201,117.3741754,13270194.49,21359829.94,2844259.2,18515570.74
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Specialist Attendances,27871,2461600,8798,19073,831979.9,1629620.1,0.315668616,140.0831337,2929056.3,4761647.7,831979.9,3929667.8
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Specialist Attendances,119750,10996146.25,28974,90776,2675686.75,8320459.5,0.241954071,172.8954666,12763290.6,24834600.72,2675686.75,22158913.97
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Specialist Attendances,327,35006.9,154,173,17334.05,17672.85,0.470948012,139.6699115,40965.3,54481.95,17334.05,37147.9
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Obstetrics,369059,43532979.4,188669,180390,10394869.15,33138110.25,0.511216364,396.9986995,49157080.95,126347785.3,10394869.15,115952916.1
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Obstetrics,124086,15956806.45,62587,61499,3569433.4,12387373.05,0.504384056,473.0342307,17444923.6,48476060.51,3569433.4,44906627.11
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Obstetrics,102132,11577341.45,71123,31009,3710820.7,7866520.75,0.696383112,666.4484028,13297222.2,33782147.14,3710820.7,30071326.44
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Obstetrics,68585,7466062.3,26573,42012,1470559.5,5995502.8,0.387446235,227.9576219,8688239.1,19815241.15,1470559.5,18344681.65
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Obstetrics,21366,2536318.25,7928,13438,483402.35,2052915.9,0.371056819,272.0662486,2889746.65,6989648.13,483402.35,6506245.78
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Obstetrics,40677,4647714.75,15577,25100,929811.15,3717903.6,0.382943678,262.2470655,5325365.65,12962428.03,929811.15,12032616.88
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Obstetrics,4927,588482.4,2077,2850,103765.55,484716.85,0.421554699,310.6588283,690628.05,1695029.15,103765.55,1591263.6
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Obstetrics,2642,198041.75,1656,986,60544.2,137497.55,0.62679788,239.2923153,228370.8,444185.78,60544.2,383641.58
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Obstetrics,4640,562005.65,1144,3496,66325.9,495679.75,0.246551724,435.0592573,592342.1,2182838.99,66325.9,2116513.09
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Obstetrics,4,206.4,4,0,206.4,0,1,-,242.8,206.4,206.4,0
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Anaesthetics,989895,150667389.2,92974,896921,10497911.15,140169478,0.093923093,248.5162952,195610792.1,394099439.9,10497911.15,383601528.7
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Anaesthetics,310891,48494454.75,34155,276736,3821937.7,44672517.05,0.109861656,207.320974,63686856.61,129189832.3,3821937.7,125367894.6
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Anaesthetics,251368,37891883.93,22309,229059,2356692.15,35535191.78,0.088750358,255.1210478,48274461.2,99310678.94,2356692.15,96953986.79
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Anaesthetics,204853,31084875.31,25077,179776,2868306.05,28216569.26,0.12241461,248.8043057,40308138.55,80934683.23,2868306.05,78066377.18
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Anaesthetics,76708,11155249.94,5467,71241,740904.8,10414345.14,0.071270272,209.8408155,14708397,27198426.44,740904.8,26457521.64
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Anaesthetics,109883,16597230.44,4760,105123,573256.4,16023974.04,0.043318803,427.7897046,21485234.3,41204483.58,573256.4,40631227.18
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Anaesthetics,18813,2864755.2,299,18514,36169.65,2828585.55,0.015893265,145.3587109,3776350.6,8062449.99,36169.65,8026280.34
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Anaesthetics,4090,639015.25,210,3880,29243.6,609771.65,0.051344743,209.9290909,836653.2,1897231.73,29243.6,1867988.13
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Anaesthetics,13276,1931098,696,12580,71216.9,1859881.1,0.052425429,224.714434,2531164.15,6286686.59,71216.9,6215469.69
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Anaesthetics,13,8826.35,1,12,183.9,8642.45,0.076923077,1138.55,3536.45,14967.05,183.9,14783.15
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Total Pathology,42154117,956508219.8,38072008,4082109,866001174.4,90507045.36,0.90316227,26.71476652,1131738615,1012848292,862259326.6,150588965.4
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Total Pathology,14184623,325152927.9,12647461,1537162,292877950.4,32274977.49,0.891631804,28.55977286,385030170.2,343477749.5,291778846.9,51698902.55
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Total Pathology,10607017,235073365.4,9690493,916524,213856533.7,21216831.69,0.913592672,25.15822895,277647868.4,249541153.4,212790798.8,36750354.64
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Total Pathology,8766484,203206754.4,7941064,825420,184458772.5,18747981.95,0.905843665,24.64712653,240603372.5,215244345.1,183689989.9,31554355.23
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Total Pathology,2779258,60096101.58,2472916,306342,53408659.1,6687442.48,0.889775616,28.45560726,71191001.88,64051450.58,53105122.05,10946328.53
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Total Pathology,4056792,93575432.99,3671995,384797,84903454.95,8671978.04,0.905147466,29.58914528,110767877.9,99237774.54,84544000.65,14693773.89
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Total Pathology,855382,18496437.71,789025,66357,16920093.85,1576343.86,0.922424133,33.78295,21885830.45,19484534.07,16863387.4,2621146.67
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Total Pathology,275411,6342536.6,269140,6271,6133504.15,209032.45,0.977230394,46.03395928,7453569.65,6480440.92,6114059.05,366381.87
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Total Pathology,623710,14446740.05,584634,39076,13326702.75,1120037.3,0.937349089,21.44259665,17021809.01,15212632.62,13259129.9,1953502.72
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Total Pathology,5440,117923.15,5280,160,115503.05,2420.1,0.970588235,42.025,137115.1,118211.25,113992,4219.25
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,7938861,1334652535,6081780,1857081,1051078089,283574446.5,0.766077149,140.292158,1449621577,1570606591,1051078089,519528502.2
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,2769138,471183740.4,2145755,623383,373167269.1,98016471.29,0.774881931,135.6374319,512749104.1,543702842,373167269.1,170535572.9
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,2009973,328321309,1583175,426798,264978588.4,63342720.69,0.787659834,146.2171788,355198642.5,385425651,264978588.4,120447062.6
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,1610147,273668295.9,1217854,392293,214509464.6,59158831.31,0.756361997,141.2352788,296825475.8,326388841.4,214509464.6,111879376.8
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,513466,88264338.68,376388,137078,65957112.85,22307225.83,0.73303393,153.3871934,96334481.35,106866537.8,65957112.85,40909424.98
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,781793,130618062.5,594300,187493,103733858,26884204.5,0.760175648,119.8818069,141808733,152382894.9,103733858,48649036.91
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,124020,20019194.04,84391,39629,14010375.35,6008818.69,0.680462829,145.2271139,21934911.14,25316027.98,14010375.35,11305652.63
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,38013,5948048.7,32500,5513,5163914.2,784134.5,0.854970668,162.7026403,6375500.87,6783302.95,5163914.2,1619388.75
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,91831,16552458.1,46967,44864,9485053.5,7067404.6,0.511450382,162.8281679,18312886.48,23660746.23,9485053.5,14175692.73
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Diagnostic Imaging,480,77088,450,30,72452.9,4635.1,0.9375,114.390625,81841.65,79746.81,72452.9,7293.91
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Total Operations,3031183,622371822.5,1043983,1987200,120236939.8,502134882.7,0.344414376,130.0298448,790120324,1342507091,120236939.8,1222270151
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Total Operations,998283,206315247.8,380896,617387,46133454.95,160181792.8,0.381551123,146.742588,260521936.8,456439821.3,46133454.95,410306366.3
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Total Operations,634504,141838433.6,166785,467719,21320982.2,120517451.5,0.262858863,130.2822654,181490140.6,304625346.6,21320982.2,283304364.4
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Total Operations,758873,136181274.2,319179,439694,33393352.4,102787921.8,0.420596068,123.2758382,171471769.3,291576877.6,33393352.4,258183525.2
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Total Operations,204748,46698268.04,60047,144701,7206902.9,39491365.14,0.293272706,103.9759303,60218070.05,94358720.24,7206902.9,87151817.34
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Total Operations,325452,66793783.75,94120,231332,9580612.85,57213170.9,0.289197793,106.9596356,85221065.17,136355837.7,9580612.85,126775224.9
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Total Operations,58589,13219997.42,11918,46671,1277523.8,11942473.62,0.203417024,82.93542194,17008525.26,27860174.89,1277523.8,26582651.09
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Total Operations,13225,2657384.49,5080,8145,563830.4,2093554.09,0.384120983,116.8535443,3386583,5994806.19,563830.4,5430975.79
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Total Operations,37444,8657351.61,5916,31528,755583.35,7901768.26,0.157995941,203.8301426,10791098.3,25281388.39,755583.35,24525805.04
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Total Operations,65,10081.55,42,23,4696.95,5384.6,0.646153846,118.9925,11135.55,14118,4696.95,9421.05
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Optometry,2922596,157852996.3,2752616,169980,148874778.1,8978218.23,0.941839378,42.10826638,185634456,165010559.5,148874778.1,16135781.35
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Optometry,928397,50106531.7,885613,42784,47828350.7,2278181,0.953916266,38.91046863,58924686.3,51771277.19,47828350.7,3942926.49
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Optometry,746705,40425393.68,698111,48594,37810305.8,2615087.88,0.934922091,40.4743633,47541438.8,42392204.89,37810305.8,4581899.09
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Optometry,626309,33644125.65,585148,41161,31529328.5,2114797.15,0.934280044,43.28713442,39562347.45,35425867.39,31529328.5,3896538.89
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Optometry,212229,11511137.55,202511,9718,10990034.05,521103.5,0.954209839,43.83117411,13539218.3,11937088.9,10990034.05,947054.85
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Optometry,281721,15347040.95,264266,17455,14440511.45,906529.5,0.938041538,48.70806646,18050019,16197240.25,14440511.45,1756728.8
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Optometry,59970,3212995.9,56142,3828,3005658.8,207337.1,0.936168084,30.41013062,3779205.35,3329405.88,3005658.8,323747.08
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Optometry,18640,1004940.6,18186,454,983544.95,21395.65,0.975643777,45.17268722,1182115.8,1025449,983544.95,41904.05
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Optometry,48438,2590368.1,42455,5983,2276743.25,313624.85,0.876481275,55.32178673,3043118.05,2921358.35,2276743.25,644615.1
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Optometry,187,10462.2,184,3,10300.6,161.6,0.983957219,68.46666667,12306.9,10667.6,10300.6,367
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,340449,222888907.8,247268,93181,140833793.6,82055114.2,0.726299681,165.3513389,213282991.1,239478152.9,140833793.6,98644359.27
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,98121,64255120.3,74614,23507,43068049.6,21187070.7,0.760428451,175.8190001,62368858.6,68617110.67,43068049.6,25549061.07
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,84052,52010852.55,64269,19783,35057413.2,16953439.35,0.764633798,161.9196373,51316249.95,55721105.53,35057413.2,20663692.33
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,80609,53951619.2,53804,26805,30950664.4,23000954.8,0.667468893,163.3053814,49511749.45,58695391.42,30950664.4,27744727.02
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,23990,16766015.15,13430,10560,8389855.35,8376159.8,0.55981659,122.5565862,15892035.3,18100776.73,8389855.35,9710921.38
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,40762,27373534.55,31566,9196,18051714.65,9321819.9,0.774397723,199.7608896,26044309.05,29223300.32,18051714.65,11171585.67
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,6374,4245931.1,4160,2214,2186567.8,2059363.3,0.652651396,158.3217176,3915185.05,4614347.3,2186567.8,2427779.5
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,2138,1299519.9,1962,176,1144069.8,155450.1,0.917680075,175.9111429,1356479.05,1330436.45,1144069.8,186366.65
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,4389,2985576.65,3449,940,1984720.4,1000856.25,0.785828207,200.0844529,2877256.2,3174946.05,1984720.4,1190225.65
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,14,738.4,14,0,738.4,0,1,-,868.5,738.4,738.4,0
Australia,AU,Australia,1/3/2025,2024-25 Q3 (Mar Qtr),Other MBS Services,3246294,758984749.4,1973428,1272866,590699322.4,168285427.1,0.60790181,139.7559157,868710835.4,903668954.6,590699322.4,312969632.3
New South Wales,NSW,NSW,1/3/2025,2024-25 Q3 (Mar Qtr),Other MBS Services,1061280,249181488.9,657012,404268,194540372.3,54641116.63,0.619075079,149.9913475,286143592.1,296748660.6,194540372.3,102208288.4
Victoria,VIC,Vic,1/3/2025,2024-25 Q3 (Mar Qtr),Other MBS Services,774740,193786315.8,500185,274555,151901009.1,41885306.72,0.645616594,165.6644018,220261649.3,229899741.3,151901009.1,77998732.22
Queensland,QLD,Qld,1/3/2025,2024-25 Q3 (Mar Qtr),Other MBS Services,701176,158784183.3,408848,292328,125283299.1,33500884.22,0.583088982,126.2676344,182440118.1,188020073.8,125283299.1,62736774.7
South Australia,SA,SA,1/3/2025,2024-25 Q3 (Mar Qtr),Other MBS Services,234936,54703319.9,129209,105727,41322099,13381220.9,0.549975312,112.797182,62806013.53,65386383.79,41322099,24064284.79
